"","homocigoto","tipo_variante","cuantos_homo_tipo","gen","cuantos_homo_tipo_gen","conf","soporte_homo_tipo"
"1",0,"frameshift deletion",18,"ALG1L2",1,0.0555555555555556,2.2391457410204e-05
"2",0,"frameshift deletion",18,"CHRFAM7A",1,0.0555555555555556,2.2391457410204e-05
"3",0,"frameshift deletion",18,"COL4A3",1,0.0555555555555556,2.2391457410204e-05
"4",0,"frameshift deletion",18,"CYP4B1",1,0.0555555555555556,2.2391457410204e-05
"5",0,"frameshift deletion",18,"DEFB126",1,0.0555555555555556,2.2391457410204e-05
"6",0,"frameshift deletion",18,"FOXD4L5",1,0.0555555555555556,2.2391457410204e-05
"7",0,"frameshift deletion",18,"GIMAP8",1,0.0555555555555556,2.2391457410204e-05
"8",0,"frameshift deletion",18,"HERC2",1,0.0555555555555556,2.2391457410204e-05
"9",0,"frameshift deletion",18,"MST1L",1,0.0555555555555556,2.2391457410204e-05
"10",0,"frameshift deletion",18,"MUC6",1,0.0555555555555556,2.2391457410204e-05
"11",0,"frameshift deletion",18,"MYO7A",1,0.0555555555555556,2.2391457410204e-05
"12",0,"frameshift deletion",18,"PLIN4",1,0.0555555555555556,2.2391457410204e-05
"13",0,"frameshift deletion",18,"PROM1",1,0.0555555555555556,2.2391457410204e-05
"14",0,"frameshift deletion",18,"RAI1",2,0.111111111111111,2.2391457410204e-05
"15",0,"frameshift deletion",18,"SLC22A1",1,0.0555555555555556,2.2391457410204e-05
"16",0,"frameshift deletion",18,"TAS2R43",1,0.0555555555555556,2.2391457410204e-05
"17",0,"frameshift deletion",18,"TPSD1",1,0.0555555555555556,2.2391457410204e-05
"18",0,"frameshift insertion",14,"ALOX5AP",1,0.0714285714285714,1.74155779857143e-05
"19",0,"frameshift insertion",14,"ATXN3",2,0.142857142857143,1.74155779857143e-05
"20",0,"frameshift insertion",14,"IFNA17",1,0.0714285714285714,1.74155779857143e-05
"21",0,"frameshift insertion",14,"LFNG",1,0.0714285714285714,1.74155779857143e-05
"22",0,"frameshift insertion",14,"MST1L",1,0.0714285714285714,1.74155779857143e-05
"23",0,"frameshift insertion",14,"MUC6",1,0.0714285714285714,1.74155779857143e-05
"24",0,"frameshift insertion",14,"PLIN4",1,0.0714285714285714,1.74155779857143e-05
"25",0,"frameshift insertion",14,"PTCHD3",1,0.0714285714285714,1.74155779857143e-05
"26",0,"frameshift insertion",14,"RP1L1",2,0.142857142857143,1.74155779857143e-05
"27",0,"frameshift insertion",14,"SETBP1",1,0.0714285714285714,1.74155779857143e-05
"28",0,"frameshift insertion",14,"TAS2R43",1,0.0714285714285714,1.74155779857143e-05
"29",0,"frameshift insertion",14,"WNK1",1,0.0714285714285714,1.74155779857143e-05
"30",0,"nonframeshift deletion",39,"ATXN1",1,0.0256410256410256,4.85148243887754e-05
"31",0,"nonframeshift deletion",39,"BMP2K",1,0.0256410256410256,4.85148243887754e-05
"32",0,"nonframeshift deletion",39,"CELF3",1,0.0256410256410256,4.85148243887754e-05
"33",0,"nonframeshift deletion",39,"DSPP",1,0.0256410256410256,4.85148243887754e-05
"34",0,"nonframeshift deletion",39,"EDC4",1,0.0256410256410256,4.85148243887754e-05
"35",0,"nonframeshift deletion",39,"FDFT1",1,0.0256410256410256,4.85148243887754e-05
"36",0,"nonframeshift deletion",39,"FMN2",1,0.0256410256410256,4.85148243887754e-05
"37",0,"nonframeshift deletion",39,"GIGYF2",1,0.0256410256410256,4.85148243887754e-05
"38",0,"nonframeshift deletion",39,"GPSM2",1,0.0256410256410256,4.85148243887754e-05
"39",0,"nonframeshift deletion",39,"GSE1",1,0.0256410256410256,4.85148243887754e-05
"40",0,"nonframeshift deletion",39,"HAVCR1",1,0.0256410256410256,4.85148243887754e-05
"41",0,"nonframeshift deletion",39,"HUWE1",1,0.0256410256410256,4.85148243887754e-05
"42",0,"nonframeshift deletion",39,"IRF5",1,0.0256410256410256,4.85148243887754e-05
"43",0,"nonframeshift deletion",39,"KCNJ12,KCNJ18",1,0.0256410256410256,4.85148243887754e-05
"44",0,"nonframeshift deletion",39,"KCNN3",1,0.0256410256410256,4.85148243887754e-05
"45",0,"nonframeshift deletion",39,"KMT2D",2,0.0512820512820513,4.85148243887754e-05
"46",0,"nonframeshift deletion",39,"KRT1",1,0.0256410256410256,4.85148243887754e-05
"47",0,"nonframeshift deletion",39,"KRT10",1,0.0256410256410256,4.85148243887754e-05
"48",0,"nonframeshift deletion",39,"MEF2A",1,0.0256410256410256,4.85148243887754e-05
"49",0,"nonframeshift deletion",39,"MST1",1,0.0256410256410256,4.85148243887754e-05
"50",0,"nonframeshift deletion",39,"MST1L",1,0.0256410256410256,4.85148243887754e-05
"51",0,"nonframeshift deletion",39,"MUC4",1,0.0256410256410256,4.85148243887754e-05
"52",0,"nonframeshift deletion",39,"PCDH15",1,0.0256410256410256,4.85148243887754e-05
